Site,Treatment,YEAR,Depth,Water,LITTER,DEAD,CALCANAD,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCRAWE,CARCOMOS,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,CAREXSP,CERDEMER,CLAMARIS,CORSTOLO,DECVERTI,DULARUND,ELEPALUS,ELOCANAD,EleocharisSp,EQUFLUVI,Fern,FONTSP,FRAVIRGI,GALLABRA,HYDMORSU,HYPKALMI,IRIVERSA,JUNBALTI,JUNBREVI,JUNSP,LEEORYZO,LEMMINOR,LYSTHYRS,LYTHSP,LYTSALIC,MILLE,MYRSIBRI,MYRISP,NAJASP,Nitella,NUPVARIE,NYMODORA,PHRAUSTR,POLAMPHI,POLYGONSPP,PONCORD,POTGRAMI,POTOSP,RosaSP,SAGSPP,SAGLATIF,SCIACUTU,SCIFLUVI,SCIPUNGE,SCIVALID,SPAEURYE,SPARSP,SPIPOLYR,SOLOSP,SolidagoSP,THEPALUS,TYPSPP,TYPANGUS,TYPGLAUC,TYPLATIF,UTRINTER,UTRVULGA,UNK,Vetch sp,ZIZPALUS
UNM4d,Reference,2018,16,4.950495,0,0,94.05941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990099,0,0,0,0
UNM4e,Reference,2018,21,14.85149,0,0,84.15841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990099,0
UNT1d,Reference,2018,34,4.830918,0,9.661835,2.415459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9661836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.1256,0,0,0,0,0,0,0,0
UNT1e,Reference,2018,37.5,4.716981,0,23.58491,9.433962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.26415,0,0,0,0,0,0,0,0
UNT1f,Reference,2018,33,0.9876544,0,7.407407,2.469136,0,0,0,0,0,0,0,14.81481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2469136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.07407,0,0,0,0,0,0,0,0
UNT2d,Reference,2018,37.5,7.692308,0,76.92308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38462,0,0,0,0,0,0,0,0
UNT2e,Reference,2018,36,33.33333,0,33.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333,0,0,0,0,0,0,0,0
UNT2f,Reference,2018,35,2.43309,0,48.6618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6618,0,0,0,0,0,0,0,0
UNM5d,Reference,2018,25,13.57466,29.86425,0,4.524887,0,0,2.262443,0,0,0,0,0,2.262443,13.57466,13.57466,0,0,4.524887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.787331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.787331,0,0,0,2.262443,0,0,0,0
UNM5e,Reference,2018,20,4.97463,32.83256,2.487315,4.97463,0.00995,0,32.83256,0,0,0,0,0,0,9.949259,0,0,0,9.949259,0.9949259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9949259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM5f,Reference,2018,29,62.55924,7.109005,0,4.739337,0,0,0,0.9478673,0,0,0,0,14.21801,0,0,0,0,4.739337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.369668,0,0,0,0,2.369668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9478673,0,0,0,0
UNM6d,Reference,2018,34,65.34007,0,0,4.950005,0,0,0,0,0,0,0,0,14.85001,0,0,0,0,0.0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.85001,0,0,0,0,0,0,0,0
UNM6e,Reference,2018,36,71.77033,0,0.9569378,0.9569378,0,0,2.392345,0,0,0,0,0,14.35407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.569378,0,0,0,0,0,0,0,0
UNM6f,Reference,2018,28.5,50.75627,2.537813,2.537813,2.537813,0,0,1.015125,0,0,0,0,0,25.37813,0,0,0,0,15.22688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
